문제,문항1,문항2,문항3,문항4,정답
아시아경제신문의 인명 표기 원칙에 따르면 우리나라 인명을 한글로 적는 것을 원칙으로 할 때 구분이 필요한 경우 한자를 어떻게 병기할 수 있는가?,한자 표기를 병기할 수 없다.,괄호 없이 이름 뒤에 한자를 붙여 쓴다.,한자를 괄호 안에 병기할 수 있다.,밑줄을 친 후 한자를 병기한다.,3
아시아경제신문의 두음법칙 표기 원칙에 따르면 이름의 두음법칙 적용 여부가 불분명한 경우 무엇을 따르는가?,현지 발음 원칙,언론사 자체 기준,법률적 기준,한글 맞춤법,4
성이 '라씨' 또는 '리씨'인 인물의 이름 표기에 대한 아시아경제신문의 원칙으로 옳은 것은?,무조건 '나씨' '이씨'로 쓴다.,무조건 '라씨' '리씨'로 쓴다.,본인이 '나' '이'로 써 줄 것을 요구할 때만 '나씨' '이씨'로 쓴다.,본인이 '라' '리'로 써 줄 것을 요구할 때는 '라 리씨'로 쓰고 그 외에는 '나 이씨'로 쓴다.,4
이름 호칭 회사명 직위가 기사 내에서 처음 나올 때의 표기 원칙으로 옳은 것은?,성과 직위만 쓴다.,이름만 쓰고 나머지는 생략한다.,모두 써 준다.,회사명만 써 준다.,3
동일한 성을 가진 사람이 여러 명 나올 경우 아시아경제신문의 인명 표기 원칙은 무엇인가?,두 번째부터는 성만 쓴다.,성과 이름을 계속 써 준다.,직위로만 구분한다.,익명 처리한다.,2
성과 직위' 그리고 '성과 호칭'의 띄어쓰기 원칙에 대한 설명으로 옳은 것은?,성과 직위는 붙여 쓰고 성과 호칭은 띄어 쓴다.,성과 직위는 띄어 쓰고 성과 호칭은 붙여 쓴다.,성과 직위 성과 호칭 모두 띄어 쓴다.,성과 직위 성과 호칭 모두 붙여 쓴다.,2
아시아경제신문의 호칭 표기 원칙에 따르면 성인인 남녀를 불문하고 직위가 없으면 통일하여 사용하는 호칭은 무엇인가?,양,군,씨,옹,3
미성년자(만 19 세 미만)의 호칭 표기 원칙으로 옳은 것은?,남자는 '양' 여자는 '군'을 쓴다.,남녀 모두 '씨'를 쓴다.,남녀 모두 '군'을 쓴다.,남자는 '군' 여자는 '양'을 쓴다.,4
다음 호칭 중 이름과 붙여 쓰는 것이 원칙인 것은?,할머니,할아버지,여사,양,4
재판 중인 기업인이나 정치인의 직위 표기 원칙으로 옳은 것은?,직위를 생략한다.,직위를 써 준다.,익명으로 표기한다.,재판 결과에 따라 직위 표기 여부를 결정한다.,2
일반인 용의자의 표기 원칙 중 사회적 반감이 큰 경우에 적용될 수 있는 것은?,반드시 '김모씨'로 표기한다.,실명을 공개한다.,호칭을 생략할 수 있다.,영문 이니셜을 사용한다.,3
아시아경제신문의 나이 표기 원칙은 무엇을 기준으로 하는가?,세는나이,만 나이,출생연도 기준 나이,임의로 기준을 정할 수 있다.,2
한 기사 안에 나오는 여러 인물의 나이 표기 원칙으로 옳은 것은?,나이를 밝힐 인물과 생략할 인물을 자유롭게 정한다.,주요 인물만 나이를 밝힌다.,나이 표기는 필수 사항이 아니다.,나이를 모두 밝히거나 모두 생략하는 등 통일시켜 준다.,4
연예인 운동선수 이름 뒤에 호칭 및 직위를 생략하는 것이 원칙이지만 예외적으로 허용되는 경우는?,스포츠 기사,연예면 기사,사설이나 칼럼,광고 기사,3
직위가 같은 사람을 두 명 이상 나열할 때의 표기 원칙은?,각 인물 뒤에 모두 직위를 써 준다.,직위를 생략한다.,첫 번째 인물 뒤에만 직위를 써 준다.,맨 마지막에 직위를 한 번 써 준다.,4
사망한 인물을 처음 표기할 때의 원칙으로 옳은 것은?,이름 뒤에 '사망'을 괄호 안에 병기한다.,고'를 이름 앞에 붙여 쓰고 한자를 병기하지 않는다.,고(故)'를 이름 앞에 한자를 괄호 안에 병기해 붙여 준다.,사망자'라는 호칭을 사용한다.,3
사망한 인물의 호칭이나 경칭 사용에 대한 원칙으로 옳은 것은?,반드시 호칭이나 경칭을 써야 한다.,씨'로 통일하여 사용한다.,직위가 있었던 인물에게는 직위를 써 준다.,호칭이나 경칭을 쓰지 않는 것을 원칙으로 하되 역사적으로 업적이 큰 인물은 호칭을 쓰기도 한다.,4
단체 이름의 옛 명칭을 표기할 때의 원칙으로 옳은 것은?,괄호 안에 '구(舊)'라는 한자식 표현을 쓴다.,괄호 안에 '옛'이라고 쓰는 것을 원칙으로 한다.,옛 명칭을 완전히 생략한다.,옛 명칭과 새 명칭을 함께 붙여 쓴다.,2
북한 인명 표기 원칙에 대한 설명으로 옳은 것은?,북한 인명은 모두 우리식 두음법칙을 적용한다.,이름은 북한 표기를 따르고 이름 외의 단어는 두음법칙을 적용해 우리식으로 표기한다.,북한 인명은 실명을 공개하지 않는다.,북한 인명은 모두 한자로 표기한다.,2
외국인명 표기 시 현지음이 아닌 제 3 국의 발음으로 통용되고 있는 이름은 어떻게 표기하는가?,외래어 표기법에 따라 현지음대로 표기한다.,국립국어원 표준 발음을 따른다.,관용을 따른다.,해당 국가의 대사관 표기 기준을 따른다.,3
"중국 인명이나 지명 표기 시 1911 년 신해혁명을 기준으로 하는 원칙은 무엇인가?,1911 년 이전은 중국어 표기법",이후는 한자음대로 표기한다.,1911년 이전에는 한자음대로 표기하고 1911년 이후는 중국어 표기법에 따라 표기한다.,시대와 상관없이 모두 중국어 표기법을 따른다.,시대와 상관없이 모두 한자음대로 표기한다.,2
